ID,Время начала,Время выполнения,Укажите ваш возраст:,Укажите ваш пол:,"Укажите ВУЗ, где вы учитесь:","0 - вуз мегаполисный, 1 - вуз региональный",Укажите профиль вашего образования:,"0 - гуманитарный, 1 - технический",Следите ли вы за политическими новостями?,"Считаете ли вы информацию, предоставляемую СМИ, достоверной?","Как вы думаете, оказывает ли владелец СМИ влияние на публикуемые материалы?",Как вы считаете СМИ в первую очередь действуют в интересах владельца или целевой аудитории?,Баллы — Как вы считаете СМИ в первую очередь действуют в интересах владельца или целевой аудитории?,"Сравниваете ли вы информацию в разных СМИ, если она вызывает у вас сомнения?",Доверяете ли вы экспертным мнениям в СМИ?,В поисках информации о политических событиях вы отдаёте предпочтение информации в СМИ или мнениям политиков в их личных микроблогах?,"Реагируете ли вы в социальных сетях и блогах на политические новости? ( комментируете, репостите, лайкаете и т.п.)",Слышали ли вы о медиаграмотности?,Слышали ли вы о фактчекинге?,Слышали ли вы о фейкньюз?,Пытаетесь ли вы найти первоисточник интересующей вас новости?,"Согласны ли вы, что СМИ при подаче новостей используют манипулятивные приёмы?","Как вы считаете политические ток-шоу на телевидении и на видеохостингах (60 минут, Навальный LIVE, Вечер с Владимиром Соловьёвым и т.д. и т.п.) носят серьёзный характер или это больше развлекатель...","Как вы считаете, подача информации в СМИ носит агрессивный характер?","Как вы считаете должны ли детей в школе учить разбираться в том, как отличать правдивую и ложную информацию в СМИ?"
87,2/8/21 12:25:41,2/8/21 12:28:24,22,Женский,СПБГУ,0,гуманитарный,0,Скорее слежу,Безусловно не считаю,Безусловно оказывает,Затрудняюсь ответить,,Скорее да,Скорее не доверяю,"Скорее СМИ, чем политикам",Никогда,Слышал,Слышал,Слышал,Всегда пытаюсь,Полностью согласен,Затрудняюсь ответить,Иногда скорее агрессивный,"Да, должны"
88,2/8/21 12:29:46,2/8/21 12:32:59,21,Мужской,СПГУ,0, технический,1,Постоянно слежу,Скорее cчитаю,Скорее всего оказывает,Скорее в интересах владельца,,Скорее да,Скорее доверяю,Затрудняюсь ответить,Скорее часто,Не слышал,Не слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Скорее развлекательный, чем серьёзный",Иногда скорее агрессивный,"Да, должны"
89,2/8/21 12:44:45,2/8/21 12:47:56,19,Женский,УГНТУ,0,скорее социо-гуманитарный,0,Скорее слежу,Скорее не считаю,Скорее всего оказывает,В большей степени в интересах целевой аудитории,,Затрудняюсь ответить,Скорее доверяю,"Скорее СМИ, чем политикам",Скорее редко,Слышал,Не слышал,Слышал,Скорее пытаюсь ,Скорее согласен,"Скорее развлекательный, чем серьёзный",Скорее неагрессивный,"Скорее да, должны"
90,2/8/21 12:45:36,2/8/21 12:48:08,18,Мужской,УГНТУ,0,скорее социо-гуманитарный,0,Затрудняюсь ответить ,Скорее не считаю,Безусловно оказывает,Скорее в интересах владельца,,Всегда,Затрудняюсь ответить,Затрудняюсь ответить,Никогда,Слышал,Слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Скорее развлекательный, чем серьёзный",Иногда скорее агрессивный,"Да, должны"
91,2/8/21 12:45:45,2/8/21 12:49:14,18,Женский,УГНТУ,0,скорее социо-гуманитарный,0,Постоянно слежу,Скорее не считаю,Затрудняюсь ответить,Скорее в интересах владельца,,Скорее да,Скорее не доверяю,"Скорее политикам, чем СМИ",Скорее часто,Слышал,Слышал,Слышал,Затрудняюсь ответить,Скорее согласен,"Скорее серьёзный, чем развлекательный",Скорее неагрессивный,"Да, должны"
92,2/8/21 12:44:57,2/8/21 12:51:06,18,Женский,УГНТУ ,0,гуманитарный,0,Постоянно не слежу,Скорее не считаю,Скорее всего оказывает,Затрудняюсь ответить,,Всегда,Затрудняюсь ответить,"Скорее политикам, чем СМИ",Скорее редко,Слышал,Не слышал,Слышал,Всегда пытаюсь,Скорее согласен,Затрудняюсь ответить,Скорее неагрессивный,"Да, должны"
93,2/8/21 12:48:58,2/8/21 12:51:34,18,Женский,ИЭС,0,скорее социо-гуманитарный,0,Скорее слежу,Скорее не считаю,Затрудняюсь ответить,В большей степени в интересах целевой аудитории,,Скорее да,Не доверяю,Затрудняюсь ответить,Никогда,Не слышал,Не слышал,Слышал,Мне всё равно,Полностью согласен,Затрудняюсь ответить,Затрудняюсь ответить,"Скорее да, должны"
94,2/8/21 12:50:55,2/8/21 12:55:44,18,Женский,УГНТУ,0,гуманитарный,0,Постоянно слежу,Затрудняюсь ответить,Скорее всего оказывает,Скорее в интересах владельца,,Всегда,Скорее доверяю,"Скорее политикам, чем СМИ",Скорее редко,Слышал,Затрудняюсь ответить,Слышал,Скорее пытаюсь ,Полностью согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,"Да, должны"
95,2/8/21 12:54:58,2/8/21 13:00:12,18,Мужской,СПбГУТ им. Бонч-Бруевича,0, технический,1,Скорее не слежу,Скорее cчитаю,Затрудняюсь ответить,В большей степени в интересах целевой аудитории,,Всегда,Затрудняюсь ответить,"Скорее политикам, чем СМИ",Никогда,Слышал,Слышал,Слышал,Мне всё равно,Скорее согласен,"Скорее развлекательный, чем серьёзный",Неагрессивный,"Да, должны"
96,2/8/21 13:29:53,2/8/21 13:31:55,20,Женский,Спбгу ,0,скорее социо-гуманитарный,0,Постоянно слежу,Скорее не считаю,Безусловно оказывает,Скорее в интересах владельца,,Всегда,Затрудняюсь ответить,"Скорее политикам, чем СМИ",Скорее редко,Слышал,Слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Серьёзный характер, там обсуждаются важные вопросы",Затрудняюсь ответить,"Да, должны"
97,2/8/21 13:37:31,2/8/21 13:41:13,23,Женский,СПбГУ ,0,скорее социо-гуманитарный,0,Скорее не слежу,Скорее не считаю,Скорее всего оказывает,Скорее в интересах владельца,,Скорее нет,Скорее не доверяю,"Скорее политикам, чем СМИ",Скорее часто,Слышал,Слышал,Слышал,Затрудняюсь ответить,Скорее согласен,"Скорее развлекательный, чем серьёзный",Затрудняюсь ответить,"Скорее да, должны"
98,2/8/21 13:43:30,2/8/21 13:49:07,22,Женский,скфу,1,гуманитарный,0,Скорее слежу,Затрудняюсь ответить,Скорее всего оказывает,Скорее в интересах владельца,,Всегда,Не доверяю,Затрудняюсь ответить,Никогда,Слышал,Не слышал,Слышал,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Иногда скорее агрессивный,"Да, должны"
99,2/8/21 14:07:03,2/8/21 14:08:51,21,Женский,Скфу,1,гуманитарный,0,Затрудняюсь ответить ,Затрудняюсь ответить,Скорее всего оказывает,Скорее в интересах владельца,,Скорее да,Затрудняюсь ответить,Затрудняюсь ответить,Никогда,Затрудняюсь ответить,Слышал,Слышал,Всегда пытаюсь,Полностью согласен,Затрудняюсь ответить,Затрудняюсь ответить,"Да, должны"
100,2/8/21 14:06:44,2/8/21 14:10:00,18,Женский,Скфу ,1,гуманитарный,0,Скорее не слежу,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Никогда,Не слышал,Не слышал,Слышал,Мне всё равно,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить
101,2/8/21 14:09:13,2/8/21 14:10:59,19,Женский,Северо-Кавказский Федеральный университет ,1,гуманитарный,0,Постоянно слежу,Скорее не считаю,Безусловно оказывает,Затрудняюсь ответить,,Скорее да,Затрудняюсь ответить,"Скорее политикам, чем СМИ",Скорее часто,Слышал,Слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,"Да, должны"
102,2/8/21 14:10:22,2/8/21 14:12:14,18,Мужской,СКФУ,1,гуманитарный,0,Скорее слежу,Скорее не считаю,Безусловно оказывает,Затрудняюсь ответить,,Скорее да,Скорее не доверяю,"Скорее политикам, чем СМИ",Скорее редко,Слышал,Слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,"Да, должны"
103,2/8/21 14:10:25,2/8/21 14:13:09,18,Мужской,СКФУ,1,гуманитарный,0,Скорее слежу,Затрудняюсь ответить,Затрудняюсь ответить,В большей степени в интересах целевой аудитории,,Скорее да,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Слышал,Слышал,Слышал,Затрудняюсь ответить,Полностью согласен,"Скорее серьёзный, чем развлекательный",Затрудняюсь ответить,Затрудняюсь ответить
104,2/8/21 14:06:40,2/8/21 14:13:33,20,Женский,СКФУ,1,гуманитарный,0,Скорее слежу,Скорее cчитаю,Безусловно оказывает,Только в интересах владельца,,Всегда,Затрудняюсь ответить,"Скорее политикам, чем СМИ",Никогда,Слышал,Слышал,Слышал,Мне всё равно,Не согласен,"Скорее развлекательный, чем серьёзный",Затрудняюсь ответить,Скорее не должны
105,2/8/21 14:10:46,2/8/21 14:14:34,20,Мужской,СКФУ,1,гуманитарный,0,Скорее слежу,Затрудняюсь ответить,Скорее всего оказывает,Скорее в интересах владельца,,Всегда,Скорее не доверяю,Затрудняюсь ответить,Скорее редко,Слышал,Слышал,Слышал,Скорее пытаюсь ,Скорее согласен,Затрудняюсь ответить,Иногда скорее агрессивный,"Да, должны"
106,2/8/21 14:12:40,2/8/21 14:16:19,19,Женский,Скфу ,1,гуманитарный,0,Скорее слежу,Затрудняюсь ответить,Скорее всего оказывает,Скорее в интересах владельца,,Скорее да,Не доверяю,Затрудняюсь ответить,Скорее редко,Слышал,Не слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Серьёзный характер, там обсуждаются важные вопросы",Затрудняюсь ответить,"Да, должны"
107,2/8/21 14:11:20,2/8/21 14:16:32,19,Женский,Скфу ,1,гуманитарный,0,Постоянно слежу,Скорее не считаю,Безусловно оказывает,Скорее в интересах владельца,,Скорее да,Затрудняюсь ответить,Затрудняюсь ответить,Скорее часто,Слышал,Слышал,Слышал,Всегда пытаюсь,Полностью согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,Затрудняюсь ответить
108,2/8/21 14:17:43,2/8/21 14:18:25,21,Мужской,СКФУ,1,гуманитарный,0,Затрудняюсь ответить ,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить
109,2/8/21 14:17:39,2/8/21 14:19:35,22,Женский,СПбГУ,0,скорее социо-гуманитарный,0,Скорее слежу,Скорее не считаю,Скорее всего оказывает,Скорее в интересах владельца,,Всегда,Скорее не доверяю,"Скорее СМИ, чем политикам",Скорее редко,Слышал,Слышал,Слышал,Скорее не пытаюсь,Скорее согласен,"Скорее развлекательный, чем серьёзный",Иногда скорее агрессивный,"Да, должны"
110,2/8/21 14:16:39,2/8/21 14:19:55,19,Мужской,СКФУ,1,гуманитарный,0,Постоянно не слежу,Безусловно не считаю,Безусловно оказывает,Затрудняюсь ответить,,Нет,Не доверяю,Затрудняюсь ответить,Никогда,Не слышал,Не слышал,Слышал,Мне всё равно,Скорее согласен,Затрудняюсь ответить,Затрудняюсь ответить,Не должны
111,2/8/21 14:17:04,2/8/21 14:21:06,20,Женский,СКФУ,1,гуманитарный,0,Постоянно не слежу,Безусловно считаю,Скорее всего не оказывает,Исключительно в интересах целевой аудитории,,Скорее нет,Доверяю,СМИ,Никогда,Слышал,Слышал,Слышал,Скорее пытаюсь ,Скорее не согласен,"Скорее развлекательный, чем серьёзный",Затрудняюсь ответить,"Да, должны"
112,2/8/21 14:16:22,2/8/21 14:21:13,20,Женский,Северо-Кавказский федеральный университет,1,гуманитарный,0,Скорее слежу,Скорее не считаю,Скорее всего оказывает,Затрудняюсь ответить,,Скорее да,Скорее не доверяю,"Скорее политикам, чем СМИ",Скорее редко,Слышал,Слышал,Слышал,Скорее пытаюсь ,Скорее согласен,"Серьёзный характер, там обсуждаются важные вопросы",Затрудняюсь ответить,"Да, должны"
113,2/8/21 14:18:24,2/8/21 14:21:46,20,Женский,СКФУ ,1,гуманитарный,0,Постоянно не слежу,Затрудняюсь ответить,Затрудняюсь ответить,В большей степени в интересах целевой аудитории,,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Никогда,Слышал,Не слышал,Слышал,Скорее пытаюсь ,Скорее согласен,"Скорее серьёзный, чем развлекательный",Скорее неагрессивный,"Скорее да, должны"
114,2/8/21 14:19:38,2/8/21 14:22:24,20,Женский,СКФУ,1,скорее социо-гуманитарный,0,Скорее не слежу,Затрудняюсь ответить,Скорее всего оказывает,Затрудняюсь ответить,,Скорее да,Затрудняюсь ответить,Затрудняюсь ответить,Никогда,Слышал,Слышал,Слышал,Скорее пытаюсь ,Полностью согласен,Затрудняюсь ответить,Иногда скорее агрессивный,"Скорее да, должны"
115,2/8/21 14:20:09,2/8/21 14:23:23,19,Женский,Скфу,1,скорее социо-гуманитарный,0,Постоянно слежу,Безусловно не считаю,Безусловно оказывает,Только в интересах владельца,,Скорее да,Не доверяю,Затрудняюсь ответить,Всегда,Слышал,Не слышал,Слышал,Всегда пытаюсь,Полностью согласен,Затрудняюсь ответить,Всегда,Затрудняюсь ответить
116,2/8/21 14:24:40,2/8/21 14:27:03,18,Мужской,Скфу ,1,гуманитарный,0,Постоянно слежу,Скорее cчитаю,Скорее всего оказывает,Исключительно в интересах целевой аудитории,,Скорее да,Затрудняюсь ответить,"Скорее СМИ, чем политикам",Скорее редко,Слышал,Слышал,Слышал,Скорее не пытаюсь,Скорее согласен,Затрудняюсь ответить,Затрудняюсь ответить,"Да, должны"
117,2/8/21 14:26:16,2/8/21 14:28:40,20,Женский,Скфу ,1,гуманитарный,0,Скорее не слежу,Затрудняюсь ответить,Скорее всего оказывает,Скорее в интересах владельца,,Скорее да,Затрудняюсь ответить,Затрудняюсь ответить,Никогда,Слышал,Затрудняюсь ответить,Слышал,Мне всё равно,Скорее согласен,"Скорее серьёзный, чем развлекательный",Затрудняюсь ответить,"Скорее да, должны"
118,2/8/21 14:26:14,2/8/21 14:28:52,20,Женский,СКФУ ,1,гуманитарный,0,Постоянно не слежу,Затрудняюсь ответить,Затрудняюсь ответить,В большей степени в интересах целевой аудитории,,Всегда,Затрудняюсь ответить,"Скорее политикам, чем СМИ",Скорее часто,Затрудняюсь ответить,Не слышал,Слышал,Всегда пытаюсь,Полностью согласен,Затрудняюсь ответить,Иногда скорее агрессивный,"Да, должны"
119,2/8/21 14:16:40,2/8/21 14:30:05,19,Женский,Северо-Кавказский Федеральный Университет,1,скорее социо-гуманитарный,0,Скорее слежу,Скорее cчитаю,Скорее всего оказывает,Скорее в интересах владельца,,Скорее да,Скорее доверяю,"Скорее политикам, чем СМИ",Скорее часто,Слышал,Не слышал,Слышал,Затрудняюсь ответить,Полностью согласен,Затрудняюсь ответить,Затрудняюсь ответить,"Скорее да, должны"
120,2/8/21 14:28:52,2/8/21 14:33:18,18,Женский,СКФУ,1,гуманитарный,0,Постоянно слежу,Затрудняюсь ответить,Безусловно оказывает,Затрудняюсь ответить,,Всегда,Затрудняюсь ответить,Затрудняюсь ответить,Скорее часто,Слышал,Слышал,Слышал,Всегда пытаюсь,Полностью согласен,"Серьёзный характер, там обсуждаются важные вопросы",Иногда скорее агрессивный,Скорее не должны
121,2/8/21 14:31:44,2/8/21 14:34:05,22,Женский,СПбГУ ,0,скорее социо-гуманитарный,0,Постоянно слежу,Затрудняюсь ответить,Безусловно оказывает,В большей степени в интересах целевой аудитории,,Всегда,Скорее доверяю,"Скорее политикам, чем СМИ",Скорее часто,Слышал,Слышал,Слышал,Скорее пытаюсь ,Скорее согласен,"Скорее серьёзный, чем развлекательный",Скорее неагрессивный,"Да, должны"
122,2/8/21 14:29:18,2/8/21 14:34:09,17,Мужской,СКФУ,1,гуманитарный,0,Постоянно слежу,Затрудняюсь ответить,Скорее всего оказывает,Затрудняюсь ответить,,Скорее да,Затрудняюсь ответить,Затрудняюсь ответить,Скорее часто,Слышал,Слышал,Слышал,Скорее не пытаюсь,Скорее согласен,Затрудняюсь ответить,Иногда скорее агрессивный,"Да, должны"
123,2/8/21 14:39:11,2/8/21 14:43:11,18,Женский,СКФУ ,1,гуманитарный,0,Скорее слежу,Скорее cчитаю,Безусловно оказывает,Скорее в интересах владельца,,Скорее да,Затрудняюсь ответить,Затрудняюсь ответить,Никогда,Слышал,Затрудняюсь ответить,Не слышал,Скорее пытаюсь ,Скорее согласен,Затрудняюсь ответить,Затрудняюсь ответить,"Да, должны"
124,2/8/21 14:44:38,2/8/21 14:47:23,20,Мужской,СКФУ,1,гуманитарный,0,Скорее слежу,Скорее не считаю,Безусловно оказывает,Скорее в интересах владельца,,Скорее да,Скорее не доверяю,"Скорее СМИ, чем политикам",Никогда,Не слышал,Не слышал,Слышал,Скорее не пытаюсь,Полностью согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,"Да, должны"
125,2/8/21 14:46:26,2/8/21 14:49:37,21,Женский,СКФУ,1,гуманитарный,0,Скорее не слежу,Скорее не считаю,Скорее всего оказывает,Скорее в интересах владельца,,Скорее да,Скорее не доверяю,Затрудняюсь ответить,Затрудняюсь ответить,Слышал,Слышал,Слышал,Скорее не пытаюсь,Скорее согласен,Затрудняюсь ответить,Скорее неагрессивный,Скорее не должны
126,2/8/21 14:48:56,2/8/21 14:51:25,21,Женский,скфу,1,гуманитарный,0,Скорее слежу,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,,Скорее да,Скорее доверяю,Затрудняюсь ответить,Скорее редко,Слышал,Слышал,Слышал,Скорее пытаюсь ,Скорее согласен,"Скорее серьёзный, чем развлекательный",Затрудняюсь ответить,"Скорее да, должны"
127,2/8/21 14:48:41,2/8/21 14:52:25,22,Мужской,СКФУ,1,гуманитарный,0,Скорее не слежу,Скорее не считаю,Безусловно оказывает,Скорее в интересах владельца,,Всегда,Затрудняюсь ответить,Затрудняюсь ответить,Скорее редко,Слышал,Слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Скорее развлекательный, чем серьёзный",Иногда скорее агрессивный,"Да, должны"
128,2/8/21 14:56:32,2/8/21 14:58:37,18,Женский,Северо-Кавказский Федеральный университет ,1,гуманитарный,0,Постоянно не слежу,Скорее cчитаю,Скорее всего оказывает,В большей степени в интересах целевой аудитории,,Скорее да,Скорее доверяю,"Скорее политикам, чем СМИ",Скорее редко,Не слышал,Не слышал,Не слышал,Скорее пытаюсь ,Затрудняюсь ответить,"Скорее развлекательный, чем серьёзный",Скорее неагрессивный,"Да, должны"
129,2/8/21 15:05:08,2/8/21 15:06:51,18,Мужской,СКФУ,1,гуманитарный,0,Постоянно слежу,Безусловно считаю,Безусловно оказывает,Только в интересах владельца,,Затрудняюсь ответить,Скорее доверяю,Политикам,Скорее часто,Слышал,Слышал,Слышал,Всегда пытаюсь,Полностью согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,"Да, должны"
130,2/8/21 15:21:16,2/8/21 15:23:47,22,Женский,МГУ им М.В. Ломоносова,0,скорее социо-гуманитарный,0,Постоянно слежу,Скорее cчитаю,Скорее всего оказывает,В большей степени в интересах целевой аудитории,,Скорее да,Затрудняюсь ответить,Затрудняюсь ответить,Скорее часто,Слышал,Слышал,Слышал,Скорее пытаюсь ,Скорее согласен,"Скорее развлекательный, чем серьёзный",Затрудняюсь ответить,"Скорее да, должны"
131,2/8/21 15:21:46,2/8/21 15:24:12,21,Женский,МГУ ,0,скорее социо-гуманитарный,0,Постоянно слежу,Скорее cчитаю,Безусловно оказывает,Скорее в интересах владельца,,Всегда,Скорее доверяю,"Скорее политикам, чем СМИ",Скорее часто,Слышал,Слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,"Да, должны"
132,2/8/21 15:22:32,2/8/21 15:24:13,18,Женский,Скфу,1,гуманитарный,0,Скорее не слежу,Скорее не считаю,Безусловно оказывает,Затрудняюсь ответить,,Скорее да,Затрудняюсь ответить,"Скорее политикам, чем СМИ",Затрудняюсь ответить,Слышал,Не слышал,Слышал,Скорее пытаюсь ,Скорее согласен,"Скорее серьёзный, чем развлекательный",Затрудняюсь ответить,"Да, должны"
133,2/8/21 15:22:16,2/8/21 15:26:06,17,Женский,СКФУ,1,гуманитарный,0,Постоянно слежу,Затрудняюсь ответить,Безусловно оказывает,Скорее в интересах владельца,,Всегда,Не доверяю,Политикам,Скорее часто,Слышал,Затрудняюсь ответить,Затрудняюсь ответить,Всегда пытаюсь,Полностью согласен,"Серьёзный характер, там обсуждаются важные вопросы",Иногда скорее агрессивный,"Да, должны"
134,2/8/21 14:15:57,2/8/21 15:27:58,22,Женский,Астраханский государственный университет ,1,гуманитарный,0,Скорее слежу,Безусловно не считаю,Затрудняюсь ответить,Затрудняюсь ответить,,Скорее да,Скорее не доверяю,Затрудняюсь ответить,Скорее часто,Затрудняюсь ответить,Слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Скорее серьёзный, чем развлекательный",Затрудняюсь ответить,"Да, должны"
135,2/8/21 15:25:00,2/8/21 15:28:08,20,Женский,Скфу,1,гуманитарный,0,Скорее слежу,Скорее не считаю,Безусловно оказывает,Затрудняюсь ответить,,Скорее да,Доверяю,Затрудняюсь ответить,Скорее часто,Затрудняюсь ответить,Не слышал,Слышал,Затрудняюсь ответить,Полностью согласен,"Скорее серьёзный, чем развлекательный",Затрудняюсь ответить,"Да, должны"
136,2/8/21 15:26:59,2/8/21 15:29:34,21,Женский,МГУ им. М.В. Ломоносова ,0,скорее социо-гуманитарный,0,Постоянно слежу,Затрудняюсь ответить,Безусловно оказывает,Скорее в интересах владельца,,Всегда,Скорее доверяю,Затрудняюсь ответить,Никогда,Слышал,Слышал,Слышал,Всегда пытаюсь,Полностью согласен,"Скорее развлекательный, чем серьёзный",Скорее неагрессивный,"Да, должны"
137,2/8/21 15:30:48,2/8/21 15:33:59,23,Мужской,МГУ имени М.В. Ломоносова,0,скорее социо-гуманитарный,0,Постоянно слежу,Затрудняюсь ответить,Скорее всего оказывает,В большей степени в интересах целевой аудитории,,Скорее да,Затрудняюсь ответить,"Скорее политикам, чем СМИ",Никогда,Слышал,Слышал,Слышал,Скорее пытаюсь ,Скорее согласен,"Скорее развлекательный, чем серьёзный",Иногда скорее агрессивный,"Да, должны"
138,2/8/21 15:36:28,2/8/21 15:38:22,22,Женский,МГУ им. М. В. Ломоносова ,0,скорее социо-гуманитарный,0,Скорее слежу,Скорее cчитаю,Безусловно оказывает,Скорее в интересах владельца,,Скорее нет,Скорее не доверяю,"Скорее СМИ, чем политикам",Никогда,Не слышал,Слышал,Слышал,Скорее не пытаюсь,Полностью согласен,Затрудняюсь ответить,Иногда скорее агрессивный,"Да, должны"
139,2/8/21 15:40:40,2/8/21 15:44:16,23,Женский,СПбГУ,0,гуманитарный,0,Постоянно слежу,Скорее cчитаю,Скорее всего оказывает,Затрудняюсь ответить,,Скорее да,Скорее доверяю,"Скорее СМИ, чем политикам",Скорее редко,Слышал,Слышал,Слышал,Скорее пытаюсь ,Скорее согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,"Да, должны"
140,2/8/21 15:52:16,2/8/21 15:55:21,22,Женский,Астраханский Государственный университет,1,гуманитарный,0,Скорее слежу,Скорее не считаю,Затрудняюсь ответить,Скорее в интересах владельца,,Всегда,Затрудняюсь ответить,Затрудняюсь ответить,Скорее часто,Слышал,Не слышал,Слышал,Всегда пытаюсь,Полностью согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,"Да, должны"
141,2/8/21 15:53:11,2/8/21 15:55:29,22,Женский,СКФУ,1,гуманитарный,0,Скорее не слежу,Затрудняюсь ответить,Скорее всего оказывает,Скорее в интересах владельца,,Скорее да,Скорее доверяю,"Скорее СМИ, чем политикам",Скорее часто,Затрудняюсь ответить,Не слышал,Слышал,Затрудняюсь ответить,Скорее согласен,"Серьёзный характер, там обсуждаются важные вопросы",Иногда скорее агрессивный,"Да, должны"
142,2/8/21 15:48:17,2/8/21 15:56:32,18,Женский,СПБГУТ,0, технический,1,Скорее слежу,Затрудняюсь ответить,Безусловно оказывает,Скорее в интересах владельца,,Скорее нет,Скорее не доверяю,Затрудняюсь ответить,Никогда,Затрудняюсь ответить,Слышал,Слышал,Скорее не пытаюсь,Затрудняюсь ответить,"Скорее развлекательный, чем серьёзный",Затрудняюсь ответить,"Скорее да, должны"
143,2/8/21 15:55:49,2/8/21 15:57:50,20,Женский,СКФУ,1,гуманитарный,0,Скорее не слежу,Скорее не считаю,Безусловно оказывает,Скорее в интересах владельца,,Всегда,Не доверяю,Затрудняюсь ответить,Никогда,Слышал,Слышал,Слышал,Мне всё равно,Полностью согласен,Затрудняюсь ответить,Иногда скорее агрессивный,"Да, должны"
144,2/8/21 15:57:10,2/8/21 15:58:46,21,Мужской,скфу,1,гуманитарный,0,Постоянно слежу,Безусловно не считаю,Безусловно оказывает,Скорее в интересах владельца,,Всегда,Не доверяю,Затрудняюсь ответить,Никогда,Слышал,Слышал,Слышал,Всегда пытаюсь,Полностью согласен,"Скорее развлекательный, чем серьёзный",Иногда скорее агрессивный,"Да, должны"
145,2/8/21 16:15:27,2/8/21 16:18:31,18,Женский, Северо-Кавказский федеральный университет,1,гуманитарный,0,Скорее слежу,Скорее не считаю,Безусловно оказывает,Затрудняюсь ответить,,Всегда,Скорее не доверяю,Политикам,Скорее редко,Слышал,Затрудняюсь ответить,Слышал,Скорее не пытаюсь,Полностью согласен,Затрудняюсь ответить,Затрудняюсь ответить,"Да, должны"
146,2/8/21 16:21:19,2/8/21 16:23:53,23,Мужской,МГУ,0,гуманитарный,0,Скорее слежу,Скорее не считаю,Безусловно оказывает,Затрудняюсь ответить,,Всегда,Скорее доверяю,"Скорее политикам, чем СМИ",Скорее редко,Слышал,Слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Скорее развлекательный, чем серьёзный",Иногда скорее агрессивный,"Да, должны"
147,2/8/21 16:17:32,2/8/21 16:24:08,21,Мужской,СПбГУ,0,скорее социо-гуманитарный,0,Постоянно слежу,Затрудняюсь ответить,Безусловно оказывает,Скорее в интересах владельца,,Скорее да,Затрудняюсь ответить,Затрудняюсь ответить,Скорее часто,Слышал,Слышал,Слышал,Скорее пытаюсь ,Скорее согласен,"Скорее развлекательный, чем серьёзный",Иногда скорее агрессивный,"Да, должны"
148,2/8/21 16:06:39,2/8/21 16:30:00,23,Мужской,МГУ,0,гуманитарный,0,Скорее не слежу,Скорее не считаю,Безусловно оказывает,Только в интересах владельца,,Скорее да,Затрудняюсь ответить,"Скорее политикам, чем СМИ",Никогда,Слышал,Слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Скорее развлекательный, чем серьёзный",Всегда,"Да, должны"
149,2/8/21 16:30:09,2/8/21 16:32:46,22,Мужской,ВЛГУ,1, технический,1,Скорее не слежу,Скорее cчитаю,Скорее всего оказывает,Только в интересах владельца,,Нет,Скорее доверяю,Затрудняюсь ответить,Никогда,Слышал,Не слышал,Не слышал,Мне всё равно,Полностью согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,"Скорее да, должны"
